Id,Age,Genre,Education,Autre,Ethnicité,Neuroticisme,Extraversion,Ouverture,Agréabilité,Conscienciosité,Impulsivité,Recherche de sensations,Alcohol,Amphetamines,Amyl nitrite,Benzodiazepine,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal highs,LSD,Methadone,Magic mushrooms,Nicotine,Semeron,Volatile substance abuse
328,45-54,Male,Matrise,UK,Blanc,20,50,46,53,50,14.64%,8.97%,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0
329,25-34,Female,Certificat ou diplome professionel,UK,Blanc,38,38,37,50,38,14.64%,3.77%,5,0,0,2,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
330,45-54,Male,Certificat ou diplome professionel,UK,Blanc,32,43,39,46,41,11.46%,11.83%,4,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,2,0,0
331,45-54,Female,Certificat ou diplome professionel,UK,Blanc,26,43,41,48,47,18.83%,11.83%,1,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
332,35-44,Male,À quitté l'école avant 16 ans,UK,Blanc,33,37,39,40,46,14.64%,8.97%,6,2,2,2,6,2,6,6,2,3,0,2,0,2,0,2,6,0,0
333,55-64,Female,À quitté l'école à 18 ans,Canada,Blanc,31,37,35,49,47,14.64%,4.62%,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
334,18-24,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,59,26,40,46,28,13.63%,11.19%,6,0,3,0,6,5,6,3,0,3,0,0,5,0,0,0,6,0,3
335,65+,Male,Collège ou université aucun certificat ou diplome,Canada,Blanc,24,37,39,44,43,7.85%,11.83%,4,0,0,5,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
336,65+,Female,À quitté l'école à 16 ans,Canada,Blanc,34,39,36,34,42,18.83%,11.19%,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
337,25-34,Female,Matrise,UK,Blanc,40,36,50,46,34,5.52%,11.19%,6,0,0,0,6,3,5,0,0,0,0,0,0,0,0,0,3,0,0
338,45-54,Female,Matrise,UK,Noir,42,41,45,43,50,18.83%,8.97%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
339,45-54,Female,Certificat ou diplome professionel,Canada,Blanc,30,42,53,31,45,5.52%,13.21%,5,1,1,2,6,2,6,3,1,1,0,0,0,1,0,2,6,0,0
340,35-44,Male,Doctorat,UK,Blanc,20,48,48,48,51,18.83%,13.21%,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
341,45-54,Female,Certificat ou diplome professionel,UK,Blanc,34,38,42,49,47,14.64%,11.83%,5,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0
342,35-44,Female,Matrise,UK,Blanc,31,47,52,45,45,1.06%,11.83%,5,0,0,0,6,6,5,1,0,0,0,0,3,0,0,2,6,0,0
343,55-64,Female,Certificat ou diplome professionel,UK,Blanc,21,46,44,49,53,1.06%,4.62%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
344,55-64,Female,Certificat ou diplome professionel,UK,Blanc,42,40,46,42,46,13.63%,11.19%,1,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
345,18-24,Female,À quitté l'école avant 16 ans,UK,Blanc,38,39,46,42,39,10.34%,8.97%,5,2,3,6,6,6,5,4,2,3,3,0,3,2,2,2,6,0,0
346,35-44,Female,Matrise,UK,Blanc,20,41,55,54,49,16.29%,8.97%,1,1,1,1,6,1,5,1,1,1,1,0,0,1,1,1,6,0,1
347,35-44,Female,Université,UK,Blanc,36,43,45,49,44,13.63%,11.83%,2,2,2,2,6,2,6,2,0,2,0,0,2,2,0,2,6,0,1
348,45-54,Female,Université,UK,Blanc,34,51,56,57,44,5.52%,11.14%,6,1,0,0,6,3,5,0,0,0,0,0,4,1,0,0,6,0,0
349,45-54,Male,Matrise,UK,Blanc,27,45,46,43,45,14.64%,4.62%,2,2,1,2,6,1,6,1,0,1,2,0,0,1,2,1,0,0,0
350,45-54,Male,Certificat ou diplome professionel,UK,Noir,30,42,43,42,44,18.83%,7.00%,6,0,0,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
351,45-54,Male,Université,UK,Blanc,41,35,42,44,41,18.83%,13.21%,5,1,1,1,6,3,5,2,0,1,0,0,0,1,0,1,6,0,1
352,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,46,36,52,51,37,10.34%,11.83%,4,2,1,4,6,2,5,2,2,2,2,2,0,1,2,1,6,0,1
353,35-44,Male,Certificat ou diplome professionel,UK,Blanc,40,41,46,40,38,18.83%,13.21%,5,2,1,4,5,4,4,2,2,1,2,0,1,2,3,2,2,0,5
354,45-54,Male,Université,UK,Blanc,34,35,49,48,31,13.63%,11.83%,1,1,1,1,6,1,5,1,1,1,1,0,0,1,1,1,1,0,1
355,25-34,Male,À quitté l'école à 16 ans,UK,Blanc,31,40,45,39,45,11.46%,8.97%,2,2,2,0,5,2,5,2,0,2,0,2,0,2,0,2,2,0,0
356,35-44,Male,Certificat ou diplome professionel,UK,Blanc,38,39,46,45,40,16.29%,13.21%,2,1,1,2,6,1,5,2,2,1,2,1,0,1,2,1,3,0,0
357,25-34,Male,À quitté l'école avant 16 ans,UK,Blanc,42,40,54,54,48,5.52%,5.46%,6,1,2,3,6,3,6,2,3,3,2,3,0,1,3,1,6,0,1
358,45-54,Male,Université,UK,Blanc,25,39,37,52,45,16.29%,11.62%,6,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,2,0,0
359,35-44,Male,À quitté l'école à 16 ans,UK,Blanc,57,31,39,31,29,5.52%,5.46%,3,3,1,1,5,3,5,3,0,3,1,1,3,1,0,1,6,0,1
360,35-44,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,40,34,52,44,39,11.46%,11.83%,2,2,2,2,6,2,6,2,0,2,0,2,0,2,0,2,2,0,1
361,25-34,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,30,50,50,44,45,7.85%,5.46%,5,2,2,2,6,2,5,2,2,2,2,2,0,2,2,0,3,0,2
362,45-54,Female,Université,UK,Blanc,41,45,46,44,41,18.83%,11.62%,2,1,1,1,6,2,5,1,0,2,0,0,0,1,0,1,2,0,0
363,35-44,Female,Certificat ou diplome professionel,UK,Blanc,42,44,53,49,50,10.34%,13.21%,5,5,2,4,6,3,4,3,2,3,2,2,0,1,2,1,6,0,2
364,45-54,Male,Université,UK,Blanc,40,42,45,47,45,16.29%,11.19%,2,1,1,2,6,2,5,1,2,1,2,0,0,1,2,1,6,0,1
365,45-54,Female,Certificat ou diplome professionel,UK,Blanc,48,39,37,48,45,14.64%,3.77%,5,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
366,35-44,Female,Doctorat,UK,Blanc,40,39,47,43,38,18.83%,11.83%,5,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,1,0,0
367,45-54,Male,Certificat ou diplome professionel,UK,Asiatique ,34,40,42,40,32,14.64%,4.62%,5,0,0,1,6,1,4,0,0,0,0,0,0,0,0,0,2,0,0
368,35-44,Female,Université,UK,Asiatique ,26,43,45,42,46,14.64%,7.00%,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
369,45-54,Female,Université,UK,Blanc,25,43,48,46,44,13.63%,11.83%,5,0,0,5,6,2,5,0,0,0,0,0,0,1,2,1,2,0,0
370,25-34,Male,Certificat ou diplome professionel,UK,Blanc,35,33,34,44,47,18.83%,8.97%,6,1,0,0,6,6,5,1,0,0,0,0,0,0,0,0,6,0,0
371,25-34,Female,Université,UK,Blanc,48,42,48,48,37,13.63%,11.83%,3,2,2,5,6,2,5,2,2,1,2,0,0,1,0,0,6,0,2
372,18-24,Male,À quitté l'école à 18 ans,Canada,Blanc,38,42,47,37,40,16.29%,11.62%,5,2,0,0,6,6,0,0,0,2,0,0,2,2,0,3,6,0,0
373,35-44,Female,Université,UK,Blanc,46,54,56,34,45,7.85%,5.46%,5,0,0,3,6,2,6,1,0,2,0,0,0,0,0,1,6,0,0
374,18-24,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,45,46,38,47,44,18.83%,13.21%,5,2,2,0,4,3,5,3,0,2,0,3,3,2,0,2,5,0,0
375,45-54,Male,Université,UK,Blanc,32,27,51,37,43,18.83%,11.19%,6,1,1,0,6,4,5,1,0,3,0,0,1,1,0,2,0,0,0
376,55-64,Female,Matrise,UK,Blanc,33,48,52,53,49,16.29%,7.00%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
377,65+,Male,Certificat ou diplome professionel,UK,Blanc,37,41,48,34,51,14.64%,8.97%,6,0,0,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
378,45-54,Female,Matrise,UK,Blanc,27,40,41,44,48,16.29%,13.21%,5,0,0,0,6,2,5,1,0,0,0,0,0,0,0,0,2,0,0
379,25-34,Female,Université,UK,Blanc,31,36,34,46,38,16.29%,7.00%,5,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0
380,25-34,Male,Matrise,Autre,Blanc,44,33,50,47,47,11.46%,11.83%,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
381,45-54,Female,Certificat ou diplome professionel,UK,Blanc,44,37,51,43,44,18.83%,11.83%,6,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0
382,35-44,Male,Université,UK,Blanc,31,47,44,39,43,13.63%,11.19%,2,2,2,2,6,2,5,2,2,2,0,2,0,1,2,2,2,0,0
383,35-44,Male,À quitté l'école à 16 ans,Autre,Blanc,32,36,38,37,36,7.85%,11.19%,4,1,1,0,6,6,6,1,0,1,0,0,0,1,0,1,6,0,1
384,35-44,Female,Matrise,Autre,Blanc,28,41,45,41,47,13.63%,13.21%,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0
385,45-54,Female,Université,UK,Blanc,37,38,43,50,47,1.06%,11.19%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
386,45-54,Female,Université,UK,Noir,33,41,39,48,46,13.63%,4.62%,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
387,25-34,Male,Certificat ou diplome professionel,UK,Blanc,30,37,29,44,39,16.29%,11.83%,5,0,2,0,6,2,6,2,0,2,0,0,0,2,0,0,6,0,0
388,45-54,Male,À quitté l'école à 18 ans,UK,Blanc,19,43,38,53,46,16.29%,11.19%,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
389,25-34,Male,Université,UK,Noir,24,42,42,34,54,16.29%,11.62%,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
390,35-44,Male,Certificat ou diplome professionel,UK,Blanc,37,38,47,42,40,18.83%,8.97%,3,0,0,0,6,1,6,0,0,0,0,0,0,0,1,0,6,0,0
391,25-34,Male,Doctorat,UK,Blanc,30,42,45,44,46,14.64%,4.62%,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,4,0,0
392,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,29,37,48,44,42,13.63%,8.97%,2,0,1,3,6,1,6,1,0,0,0,0,0,0,3,0,6,0,0
393,25-34,Female,Université,UK,Blanc,42,40,47,45,43,16.29%,11.19%,5,0,0,0,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0
394,35-44,Female,À quitté l'école à 17 ans,UK,Blanc,31,42,42,43,49,16.29%,7.00%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
395,25-34,Female,Certificat ou diplome professionel,UK,Blanc,28,39,30,39,51,14.64%,3.77%,6,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0
396,25-34,Male,Certificat ou diplome professionel,UK,Blanc,23,44,45,38,53,11.46%,13.21%,6,2,1,0,6,1,6,2,1,3,0,2,0,2,1,2,5,0,1
397,35-44,Male,Université,UK,Blanc,38,48,43,33,36,5.52%,11.14%,6,1,1,1,4,2,5,3,0,3,0,0,3,1,0,1,5,0,0
398,35-44,Female,Université,UK,Blanc,20,44,39,41,46,18.83%,11.19%,6,0,0,0,6,2,5,0,0,0,0,0,0,0,0,1,1,0,0
399,45-54,Male,Certificat ou diplome professionel,UK,Blanc,37,43,40,33,45,7.85%,11.14%,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0
400,25-34,Female,Matrise,UK,Blanc,28,42,48,34,48,10.34%,11.19%,6,0,0,0,6,5,3,0,0,0,0,0,0,0,0,0,6,0,1
401,45-54,Male,Matrise,UK,Blanc,27,48,55,49,46,16.29%,7.00%,1,1,1,0,5,1,6,1,0,1,0,1,0,0,0,1,4,0,1
402,25-34,Female,À quitté l'école à 18 ans,UK,Blanc,34,39,32,47,47,16.29%,8.97%,4,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0
403,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,37,32,43,32,37,5.52%,11.14%,5,2,2,0,6,6,6,2,0,2,0,2,2,2,0,2,6,0,0
404,18-24,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,27,35,44,39,32,11.46%,13.21%,5,0,0,0,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0
405,18-24,Male,Université,UK,Blanc,23,44,44,38,39,14.64%,11.19%,5,0,0,2,5,5,5,0,0,0,0,0,0,0,0,0,6,0,0
406,45-54,Male,À quitté l'école à 17 ans,UK,Blanc,45,39,45,42,44,10.34%,11.62%,3,1,1,1,6,6,6,2,0,0,0,0,0,1,0,1,6,0,1
407,18-24,Female,À quitté l'école avant 16 ans,UK,Blanc,37,50,57,51,42,7.85%,11.19%,5,3,2,3,6,5,6,0,0,3,0,0,4,0,0,3,6,0,0
408,45-54,Female,Université,UK,Blanc,53,33,56,43,39,13.63%,13.21%,3,1,0,0,6,6,6,1,0,2,0,0,3,0,0,1,6,0,0
409,35-44,Male,À quitté l'école à 17 ans,UK,Autre ,49,39,44,41,37,18.83%,11.62%,6,1,1,2,6,6,2,1,1,2,0,0,0,1,0,1,6,0,0
410,25-34,Male,Université,UK,Blanc,29,41,50,44,40,13.63%,4.62%,3,1,1,1,6,6,6,1,0,1,0,2,2,1,6,1,6,0,1
411,35-44,Female,Certificat ou diplome professionel,USA,Blanc,22,45,51,45,46,18.83%,13.21%,1,1,0,2,6,6,6,1,0,0,0,0,0,0,3,0,6,0,0
412,45-54,Male,À quitté l'école à 18 ans,UK,Blanc,46,30,49,49,31,10.34%,13.21%,5,2,0,3,6,6,6,1,0,2,1,2,2,1,6,2,2,0,1
413,35-44,Female,Collège ou université aucun certificat ou diplome,Autre,Blanc,31,29,48,44,29,18.83%,8.97%,3,0,0,1,3,1,6,1,1,1,0,0,0,1,0,1,1,0,0
414,25-34,Female,Université,UK,Blanc,37,47,39,46,40,16.29%,11.19%,6,0,0,0,3,2,6,2,0,2,0,0,0,0,0,0,2,0,0
415,35-44,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,36,39,51,44,39,18.83%,11.83%,5,2,2,2,6,6,5,3,0,2,0,2,2,2,0,2,6,0,0
416,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,20,42,38,42,37,13.63%,11.83%,6,0,0,0,6,1,4,0,0,0,0,0,0,0,0,1,1,0,0
417,18-24,Male,À quitté l'école à 18 ans,UK,Blanc,30,32,42,29,56,18.83%,11.19%,6,3,3,0,6,6,6,3,0,3,0,5,4,3,0,3,5,0,0
418,18-24,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,35,35,48,28,32,13.63%,11.19%,5,0,3,3,6,6,5,5,0,3,0,4,3,0,0,2,6,0,0
419,25-34,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,28,46,47,36,37,7.85%,5.46%,5,2,2,0,5,2,4,2,2,2,0,0,0,2,0,2,2,0,2
420,25-34,Female,Doctorat,UK,Blanc,39,40,53,40,45,18.83%,11.83%,6,0,3,0,6,4,5,0,0,0,0,0,0,0,0,2,0,0,0
421,25-34,Male,Université,UK,Blanc,42,41,45,41,43,13.63%,11.19%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
422,18-24,Male,À quitté l'école à 18 ans,UK,Blanc,39,45,46,37,49,11.46%,11.19%,4,3,0,0,6,6,4,0,0,3,0,3,0,0,0,0,5,0,0
423,25-34,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,39,27,36,41,39,11.46%,8.97%,5,2,2,0,6,2,6,0,0,0,0,0,0,0,0,0,6,0,0
424,35-44,Male,Certificat ou diplome professionel,UK,Blanc,28,39,46,54,37,18.83%,7.00%,4,1,1,3,6,6,6,1,0,1,0,0,2,1,1,1,6,0,1
425,35-44,Female,Université,UK,Mixed-Blanc/Asiatique ,26,45,41,51,48,18.83%,8.97%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
426,45-54,Female,Doctorat,USA,Blanc,41,40,56,49,42,7.85%,13.21%,3,1,1,1,6,6,6,1,1,2,1,0,2,2,1,2,1,0,1
427,35-44,Male,Université,UK,Blanc,32,38,47,41,29,18.83%,8.97%,6,2,3,0,6,5,5,1,0,3,0,0,3,1,0,2,5,0,0
428,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,38,40,44,42,42,11.46%,11.83%,5,1,0,3,5,1,4,0,0,0,0,0,0,0,0,0,1,0,0
429,35-44,Male,Université,Autre,Blanc,42,34,45,34,41,10.34%,11.62%,6,1,1,1,6,6,5,3,0,3,0,1,3,3,0,4,0,0,2
430,25-34,Female,À quitté l'école à 18 ans,UK,Blanc,27,39,31,45,47,14.64%,4.62%,5,0,0,3,6,2,6,0,0,0,0,0,0,0,0,0,2,0,0
431,25-34,Male,À quitté l'école avant 16 ans,UK,Blanc,38,33,36,38,40,18.83%,11.83%,5,1,0,0,6,1,6,0,0,1,0,0,0,1,0,1,6,0,1
432,25-34,Female,À quitté l'école à 18 ans,UK,Blanc,36,42,39,49,34,13.63%,11.83%,5,2,1,0,6,2,5,2,0,2,0,2,0,0,0,2,5,0,0
433,25-34,Male,Université,UK,Blanc,33,38,34,45,43,16.29%,7.00%,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
434,45-54,Female,À quitté l'école à 16 ans,UK,Blanc,38,52,38,51,41,5.52%,11.19%,6,1,1,0,2,2,4,0,0,0,0,0,0,0,0,0,3,0,0
435,18-24,Female,Université,UK,Blanc,34,46,35,56,52,18.83%,11.19%,5,0,2,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
436,25-34,Female,Université,UK,Blanc,36,43,38,47,53,16.29%,11.19%,4,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0
437,55-64,Male,Collège ou université aucun certificat ou diplome,USA,Blanc,29,38,53,54,47,14.64%,7.00%,1,0,0,0,2,6,5,1,0,0,0,0,0,1,0,0,0,0,0
438,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,23,43,48,37,45,11.46%,13.21%,6,2,2,2,6,6,4,3,5,2,2,0,0,1,1,0,2,0,0
439,25-34,Female,Université,USA,Blanc,59,37,40,31,26,10.34%,11.62%,5,2,0,6,6,2,6,2,2,0,2,0,2,0,2,2,6,0,0
440,18-24,Female,Collège ou université aucun certificat ou diplome,USA,Blanc,49,38,48,42,28,13.63%,11.83%,4,0,0,0,5,4,6,0,0,0,0,0,0,0,0,0,3,0,3
441,35-44,Female,Université,UK,Blanc,31,43,42,48,53,18.83%,11.19%,6,0,0,0,6,2,6,2,0,0,0,0,0,0,0,1,2,0,0
442,18-24,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,29,49,31,43,46,11.46%,11.62%,3,0,0,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0
443,25-34,Female,Matrise,UK,Blanc,27,40,48,42,42,13.63%,11.62%,5,2,0,0,6,6,6,3,0,4,0,2,3,2,0,2,6,0,0
444,35-44,Male,À quitté l'école à 16 ans,UK,Blanc,40,44,41,38,40,18.83%,11.83%,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,5,0,0
445,45-54,Female,Certificat ou diplome professionel,UK,Blanc,31,45,50,44,47,1.06%,8.97%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
446,45-54,Female,Université,UK,Blanc,46,33,42,37,45,18.83%,4.62%,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0
447,25-34,Female,Université,UK,Blanc,38,32,49,58,37,16.29%,13.21%,6,2,2,2,5,3,5,2,0,2,0,2,3,3,3,2,6,0,0
448,25-34,Male,Matrise,UK,Blanc,36,39,40,38,33,7.85%,11.62%,6,2,1,0,6,2,6,2,0,2,0,0,2,0,0,2,6,0,0
449,18-24,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,47,49,53,31,35,7.85%,11.14%,5,0,2,3,6,3,5,0,0,2,0,0,3,4,0,3,5,0,0
450,18-24,Male,Université,UK,Blanc,32,44,49,41,47,18.83%,11.62%,5,3,3,0,3,3,6,3,0,4,0,4,3,3,3,3,0,0,0
451,18-24,Female,Université,UK,Blanc,43,39,40,47,34,11.46%,11.62%,5,2,2,2,6,5,4,2,2,2,0,2,2,0,0,2,6,0,0
452,18-24,Female,Matrise,UK,Blanc,25,45,40,42,47,13.63%,11.19%,5,0,0,0,4,2,5,0,0,0,0,0,0,0,0,0,2,0,0
453,35-44,Female,Université,UK,Blanc,34,39,47,44,48,14.64%,11.62%,5,0,0,0,3,2,6,2,0,0,0,0,0,0,0,0,3,0,0
454,25-34,Male,Université,UK,Blanc,48,27,44,44,45,14.64%,11.83%,5,2,3,0,4,3,5,0,0,2,0,2,2,0,0,2,2,0,0
455,45-54,Male,Doctorat,UK,Blanc,34,36,52,38,40,5.52%,11.19%,6,6,2,5,6,6,6,3,2,3,5,2,4,4,5,3,4,0,1
456,18-24,Female,Université,UK,Blanc,44,34,51,38,22,10.34%,11.83%,6,3,3,0,6,3,5,0,0,2,0,0,4,0,0,0,5,0,0
457,35-44,Male,Université,UK,Blanc,51,37,48,28,37,10.34%,13.21%,6,3,1,4,6,4,6,3,1,3,3,2,2,2,1,2,6,0,1
458,35-44,Female,Matrise,UK,Blanc,31,36,47,47,47,14.64%,3.77%,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
459,18-24,Female,Université,UK,Blanc,42,40,47,47,43,18.83%,11.62%,6,4,2,0,6,6,6,2,0,4,0,4,4,3,0,3,6,0,0
460,25-34,Male,Matrise,UK,Blanc,45,48,57,26,39,11.46%,11.62%,4,3,0,0,6,4,6,2,0,3,0,4,3,3,3,3,5,0,0
461,18-24,Female,Université,UK,Blanc,48,30,54,31,44,10.34%,11.62%,6,3,3,4,6,5,6,3,0,2,3,5,3,2,3,2,6,0,0
462,18-24,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,50,30,28,54,32,11.46%,7.00%,5,0,2,0,6,2,4,0,0,3,0,0,2,0,0,2,0,0,0
463,35-44,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,44,43,55,44,24,7.85%,11.14%,3,2,2,1,6,2,6,2,0,2,0,0,2,1,0,1,6,0,1
464,45-54,Male,À quitté l'école à 18 ans,UK,Blanc,46,33,42,52,32,18.83%,13.21%,6,1,2,0,6,1,3,1,0,0,0,0,1,1,0,1,3,0,1
465,18-24,Female,Université,UK,Blanc,39,34,53,48,48,13.63%,11.83%,5,2,2,3,5,3,5,0,0,2,0,0,2,3,3,3,6,0,0
466,18-24,Female,Matrise,UK,Blanc,49,32,46,40,39,7.85%,11.19%,5,0,2,0,6,2,6,0,0,0,0,0,0,0,0,0,6,0,0
467,18-24,Female,Université,UK,Asiatique ,39,44,53,50,40,16.29%,11.19%,0,2,0,2,6,6,5,0,0,3,0,0,2,0,0,2,6,0,2
468,45-54,Male,Université,UK,Blanc,38,40,54,43,51,18.83%,11.83%,6,1,1,0,2,1,5,1,0,0,0,0,0,1,0,1,2,0,0
469,35-44,Male,Université,UK,Blanc,35,41,41,41,43,14.64%,7.00%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
470,25-34,Male,Université,UK,Blanc,25,51,55,48,42,10.34%,11.14%,5,3,2,0,6,3,5,3,0,3,0,0,2,3,0,2,6,0,0
471,45-54,Female,À quitté l'école à 16 ans,USA,Blanc,59,28,36,53,26,18.83%,11.62%,3,1,1,6,6,1,6,1,1,1,2,0,0,1,6,0,6,0,0
472,18-24,Female,Université,UK,Blanc,37,45,48,42,47,16.29%,8.97%,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
473,18-24,Male,Matrise,UK,Mixed-Blanc/Noir,27,55,53,50,55,18.83%,13.21%,5,2,2,2,6,6,5,2,0,3,0,0,2,3,0,3,6,0,0
474,18-24,Female,À quitté l'école avant 16 ans,UK,Blanc,39,40,45,51,42,13.63%,11.83%,5,2,2,2,6,3,5,2,2,2,2,0,2,2,2,0,6,0,2
475,35-44,Female,Collège ou université aucun certificat ou diplome,USA,Blanc,49,40,43,38,38,10.34%,11.83%,2,0,0,3,6,6,5,2,0,0,0,0,0,0,2,0,6,0,0
476,55-64,Female,Université,UK,Mixed-Blanc/Asiatique ,33,46,47,42,45,14.64%,3.77%,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
477,45-54,Female,Université,USA,Blanc,25,46,43,48,48,16.29%,8.97%,3,1,0,0,6,6,4,1,0,0,0,0,0,1,0,0,1,0,0
478,35-44,Male,Université,UK,Blanc,52,33,50,31,39,13.63%,8.97%,6,0,0,0,6,2,3,0,0,0,0,0,0,0,0,0,6,0,3
479,35-44,Female,Certificat ou diplome professionel,UK,Blanc,50,35,41,35,32,7.85%,11.19%,6,0,1,6,6,2,5,3,0,0,0,0,0,0,0,0,6,0,0
480,25-34,Female,Université,UK,Blanc,40,45,44,49,46,18.83%,11.62%,6,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,2,0,0
481,25-34,Female,Matrise,Australie,Blanc,40,37,55,52,44,13.63%,13.21%,6,0,0,2,6,2,5,0,0,0,0,0,0,0,0,0,3,0,0
482,18-24,Male,Collège ou université aucun certificat ou diplome,USA,Blanc,47,34,45,34,37,14.64%,8.97%,3,3,0,3,6,3,4,3,0,3,3,3,3,3,3,3,6,0,0
483,35-44,Female,Université,Australie,Blanc,46,41,48,42,46,13.63%,13.21%,6,2,1,6,6,3,5,2,0,2,1,1,0,1,2,1,6,0,0
484,35-44,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,29,39,48,44,52,16.29%,11.83%,0,1,0,0,6,6,2,1,0,1,1,0,0,1,0,1,3,0,1
485,25-34,Female,Université,UK,Blanc,48,43,55,45,48,13.63%,8.97%,2,0,2,2,5,6,5,0,0,4,0,3,2,0,0,3,3,0,0
486,35-44,Female,À quitté l'école à 16 ans,UK,Blanc,30,46,42,48,40,14.64%,7.00%,4,1,1,0,6,6,6,1,0,1,0,0,0,0,0,0,6,0,0
487,45-54,Female,À quitté l'école à 16 ans,UK,Blanc,31,42,35,50,36,14.64%,8.97%,6,0,1,0,6,6,5,0,0,0,0,0,0,0,0,0,6,0,0
488,25-34,Male,À quitté l'école à 18 ans,Autre,Blanc,50,28,53,38,31,16.29%,7.00%,5,5,0,2,6,5,4,0,0,0,0,0,2,0,0,0,5,0,1
489,35-44,Female,À quitté l'école à 18 ans,USA,Blanc,53,27,54,36,44,13.63%,11.19%,4,0,0,6,6,6,6,1,1,0,1,0,0,1,0,1,6,0,0
490,25-34,Male,À quitté l'école à 16 ans,UK,Blanc,40,30,47,48,39,18.83%,11.14%,6,3,2,2,6,6,6,3,0,3,0,0,3,0,0,2,3,0,2
